Info [2021-07-21 23:38:02]CELLLog::SetLogPath success, </root/LearnSocket/logs/Client.txt,w>
Info [2021-07-21 23:38:02]CELLConfig::getStr strIP=127.0.0.1
Info [2021-07-21 23:38:02]CELLConfig::getInt nPort=4567
Info [2021-07-21 23:38:02]CELLConfig::getInt nThread=8
Info [2021-07-21 23:38:02]CELLConfig::getInt nClient=150
Info [2021-07-21 23:38:02]CELLConfig::getInt nMsg=1
Info [2021-07-21 23:38:02]CELLConfig::getInt nSendSleep=1000
Info [2021-07-21 23:38:02]CELLConfig::getInt nSendBuffSize=81920
Info [2021-07-21 23:38:02]CELLConfig::getInt nRecvBuffSize=81920
Info [2021-07-21 23:38:02]Thread<2>,start.
Info [2021-07-21 23:38:02]Thread<1>,start.
Info [2021-07-21 23:38:02]Thread<3>,start.
Info [2021-07-21 23:38:02]Thread<4>,start.
Info [2021-07-21 23:38:02]Thread<5>,start.
Info [2021-07-21 23:38:02]Thread<6>,start.
Info [2021-07-21 23:38:02]Thread<7>,start.
Info [2021-07-21 23:38:02]Thread<8>,start.
Info [2021-07-21 23:38:02]Thread<5>, Connect<begin=0, end=150, nConnect=671>
Info [2021-07-21 23:41:15]thread<8>,clients<150>,connect<1200>,time<1.000885>,send<1350>
Info [2021-07-21 23:41:16]thread<8>,clients<150>,connect<1200>,time<1.001143>,send<1200>
Info [2021-07-21 23:41:17]thread<8>,clients<150>,connect<1200>,time<1.001161>,send<1050>
Info [2021-07-21 23:41:18]thread<8>,clients<150>,connect<1200>,time<1.001104>,send<1350>
Info [2021-07-21 23:41:19]thread<8>,clients<150>,connect<1200>,time<1.001322>,send<1200>
Info [2021-07-21 23:41:20]thread<8>,clients<150>,connect<1200>,time<1.001173>,send<1200>
Info [2021-07-21 23:41:21]thread<8>,clients<150>,connect<1200>,time<1.000243>,send<1200>
Info [2021-07-21 23:41:22]thread<8>,clients<150>,connect<1200>,time<1.000778>,send<1200>
Info [2021-07-21 23:41:23]thread<8>,clients<150>,connect<1200>,time<1.000023>,send<1200>
Info [2021-07-21 23:41:24]thread<8>,clients<150>,connect<1200>,time<1.001016>,send<1200>
Info [2021-07-21 23:41:25]thread<8>,clients<150>,connect<1200>,time<1.001206>,send<1200>
Info [2021-07-21 23:41:26]thread<8>,clients<150>,connect<1200>,time<1.000045>,send<1200>
Info [2021-07-21 23:41:27]thread<8>,clients<150>,connect<1200>,time<1.000245>,send<1200>
Info [2021-07-21 23:41:28]thread<8>,clients<150>,connect<1200>,time<1.000943>,send<1200>
Info [2021-07-21 23:41:29]thread<8>,clients<150>,connect<1200>,time<1.000504>,send<1200>
Info [2021-07-21 23:41:30]thread<8>,clients<150>,connect<1200>,time<1.000761>,send<1200>
Info [2021-07-21 23:41:31]thread<8>,clients<150>,connect<1200>,time<1.000176>,send<1200>
Info [2021-07-21 23:41:32]thread<8>,clients<150>,connect<1200>,time<1.000521>,send<1200>
Info [2021-07-21 23:41:33]thread<8>,clients<150>,connect<1200>,time<1.001244>,send<1200>
Info [2021-07-21 23:41:34]thread<8>,clients<150>,connect<1200>,time<1.001133>,send<1200>
Info [2021-07-21 23:41:35]thread<8>,clients<150>,connect<1200>,time<1.001132>,send<1200>
Info [2021-07-21 23:41:36]thread<8>,clients<150>,connect<1200>,time<1.000627>,send<1200>
Info [2021-07-21 23:41:37]thread<8>,clients<150>,connect<1200>,time<1.000719>,send<1200>
